Week,Total_A,Total_B,Percent_Positive_A,Percent_Positive_B,Total_Number_Tested,Total_Percent_Positive
20181,13018,2535,21.23,4.13,61316,25.37
20182,15149,3246,22.19,4.75,68276,26.94
20183,14782,3905,21.38,5.65,69124,27.03
20184,16634,5350,20.71,6.66,80322,27.37
20185,15193,6915,18.6,8.47,81687,27.06
20186,14116,7858,17.34,9.65,81391,27
20187,11371,8210,15.17,10.95,74973,26.12
20188,7177,6400,11.95,10.66,60034,22.62
20189,4405,4559,9.08,9.4,48489,18.49
201810,2897,3534,7.07,8.62,40978,15.69
201811,2349,3384,6.38,9.2,36794,15.58
201812,2023,3103,6.05,9.28,33442,15.33
201813,1708,2927,5.57,9.54,30668,15.11
201814,1132,2337,4.14,8.55,27339,12.69
201815,901,1917,3.6,7.65,25052,11.25
201816,595,1424,2.77,6.63,21483,9.4
201817,472,1074,2.44,5.56,19328,8
201818,346,724,2.02,4.24,17095,6.26
201819,191,467,1.28,3.12,14978,4.39
201820,176,236,1.35,1.81,13013,3.17
201821,119,163,1.01,1.38,11799,2.39
201822,76,89,0.7,0.82,10789,1.53
201823,73,80,0.75,0.82,9703,1.58
201824,51,65,0.57,0.73,8929,1.3
201825,49,38,0.58,0.45,8502,1.02
201826,57,29,0.74,0.38,7723,1.11
201827,44,25,0.64,0.36,6879,1
201828,51,13,0.73,0.19,6986,0.92
201829,57,15,0.83,0.22,6835,1.05
201830,48,19,0.71,0.28,6733,1
201831,43,17,0.68,0.27,6292,0.95
201832,43,22,0.63,0.32,6790,0.96
201833,36,18,0.51,0.25,7065,0.76
201834,77,27,0.99,0.35,7783,1.34
201835,98,33,1.12,0.38,8712,1.5
201836,119,52,1.22,0.53,9786,1.75
201837,155,48,1.29,0.4,12030,1.69
201838,158,66,1.2,0.5,13182,1.7
201839,169,52,1.14,0.35,14763,1.5
201840,218,69,1.32,0.41,16492,1.74
201841,222,81,1.23,0.45,17980,1.68
201842,311,89,1.54,0.44,20128,1.98
201843,337,98,1.58,0.46,21302,2.04
201844,389,98,1.74,0.43,22281,2.18
201845,543,95,2.33,0.4,23304,2.73
201846,667,99,2.74,0.4,24288,3.15
201847,893,72,3.64,0.29,24511,3.93
201848,998,103,3.55,0.36,28063,3.92
201849,1658,147,5.74,0.5,28835,6.25
201850,3235,188,9.83,0.57,32892,10.4
201851,5282,179,13.84,0.46,38138,14.31
201852,6835,231,15.87,0.53,43057,16.41
