YEAR,WEEK,Total_A,TOTAL_B,Percent_Positive_A,Percent_Positive_B,Total_Number_Tested,Total_Percent_Positive
2018,8,830,742,14.41,12.88,5760,27.29
2018,9,396,372,9.53,8.95,4155,18.48
2018,10,234,234,6.79,6.79,3448,13.57
2018,11,179,210,5.8,6.8,3088,12.6
2018,12,180,180,6.29,6.29,2861,12.58
2018,13,221,212,8.01,7.68,2759,15.69
2018,14,167,167,7.71,7.71,2165,15.43
2018,15,111,101,5.46,4.97,2032,10.43
2018,16,111,66,5.79,3.44,1916,9.24
2018,17,76,68,4.4,3.94,1728,8.33
2018,18,53,30,3.29,1.86,1609,5.16
2018,19,31,34,2.07,2.27,1498,4.34
2018,20,22,13,1.62,0.96,1360,2.57
2018,21,11,3,0.91,0.25,1209,1.16
2018,22,10,1,0.86,0.09,1166,0.94
2018,23,3,1,0.26,0.09,1139,0.35
2018,24,1,0,0.09,0,1070,0.09
2018,25,0,0,0,0,997,0
2018,26,1,0,0.12,0,859,0.12
2018,27,0,0,0,0,812,0
2018,28,3,0,0.34,0,879,0.34
2018,29,2,0,0.23,0,857,0.23
2018,30,2,0,0.24,0,818,0.24
2018,31,1,0,0.13,0,755,0.13
2018,32,1,0,0.12,0,851,0.12
2018,33,0,0,0,0,803,0
2018,34,0,0,0,0,860,0
2018,35,1,0,0.12,0,807,0.12
2018,36,3,0,0.37,0,810,0.37
2018,37,0,0,0,0,1218,0
2018,38,4,1,0.34,0.09,1170,0.43
2018,39,4,3,0.28,0.21,1452,0.48
2018,40,5,2,0.34,0.14,1454,0.48
2018,41,7,1,0.35,0.05,1999,0.4
2018,42,7,0,0.34,0,2068,0.34
2018,43,7,2,0.33,0.09,2152,0.42
2018,44,8,1,0.39,0.05,2043,0.44
2018,45,15,1,0.71,0.05,2106,0.76
2018,46,24,0,1.18,0,2029,1.18
2018,47,30,4,1.46,0.19,2056,1.65
2018,48,59,7,2.42,0.29,2442,2.7
2018,49,63,9,2.45,0.35,2572,2.8
2018,50,157,10,5.5,0.35,2852,5.86
2018,51,266,4,8.39,0.13,3169,8.52
2018,52,436,7,12.83,0.21,3399,13.03
2019,1,513,3,13.32,0.08,3852,13.4
2019,2,347,8,12.86,0.3,2698,13.16
2019,3,421,0,15.75,0,2673,15.75
2019,4,553,6,20.92,0.23,2644,21.14
2019,5,583,2,20.75,0.07,2810,20.82
2019,6,831,4,25.86,0.12,3214,25.98
2019,7,943,2,27.63,0.06,3413,27.69
2019,8,908,8,27.81,0.25,3265,28.06
